,date,Negative,Neutral,Positive
167,2018-11-13,0.62148297,0.0036790455,0.37483793
168,2018-11-14,0.9485966,0.004490482,0.046912868
169,2018-11-15,0.50380903,0.47821417,0.01797677
170,2018-11-16,0.9688263,0.0028546783,0.028319024
171,2018-11-19,0.49546075,0.0025250213,0.5020142
172,2018-11-20,0.9277849,0.0030768905,0.06913823
173,2018-11-21,0.50585926,0.0044812784,0.48965952
174,2018-11-22,0.4078382,0.0031954313,0.5889664
175,2018-11-23,0.48850214,0.017588869,0.49390894
176,2018-11-26,0.78129077,0.0041267187,0.21458255
177,2018-11-27,0.8799199,0.0039864904,0.11609356
178,2018-11-28,0.46762484,0.4513138,0.08106134
179,2018-11-29,0.9649805,0.0039140005,0.031105496
180,2018-11-30,0.59565604,0.28245783,0.121886134
181,2018-12-01,0.046467394,0.0025658293,0.9509668
182,2018-12-06,0.951266,0.0036763514,0.045057736
183,2018-12-07,0.96047086,0.005103683,0.034425545
184,2018-12-09,0.9708956,0.007991993,0.021112368
185,2018-12-10,0.77228785,0.0049233004,0.22278884
186,2018-12-11,0.9534404,0.0070470087,0.039512567
187,2018-12-12,0.57583046,0.0037842512,0.42038527
188,2018-12-13,0.010049454,0.94607913,0.043871436
189,2018-12-14,0.98417217,0.0027886136,0.013039141
190,2018-12-17,0.77245617,0.004019465,0.22352433
191,2018-12-18,0.34975994,0.0035700223,0.64667004
192,2018-12-19,0.6158931,0.2259026,0.15820432
193,2018-12-20,0.827389,0.0039645573,0.16864643
194,2018-12-21,0.9709065,0.0037683302,0.025325233
195,2018-12-24,0.4950914,0.002808751,0.5020999
196,2018-12-25,0.4968999,0.004061251,0.49903885
197,2018-12-26,0.60533315,0.0043511055,0.39031574
198,2018-12-27,0.9865178,0.003045055,0.01043719
199,2018-12-28,0.7707982,0.0042029265,0.22499882
200,2018-12-31,0.49620017,0.49409604,0.009703796
201,2019-01-01,0.91739714,0.0038138677,0.078788936
202,2019-01-02,0.69480324,0.0052825026,0.29991424
203,2019-01-03,0.9579357,0.003674533,0.03838983
204,2019-01-04,0.09425711,0.003600396,0.9021425
205,2019-01-05,0.9035853,0.0061759152,0.09023874
206,2019-01-07,0.5150436,0.0028724344,0.48208392
207,2019-01-08,0.5027516,0.003179195,0.49406922
208,2019-01-10,0.984681,0.0028487747,0.012470191
209,2019-01-11,0.79621625,0.0047052586,0.1990785
210,2019-01-14,0.9770942,0.007790241,0.0151155265
211,2019-01-15,0.6192295,0.0070133936,0.37375712
212,2019-01-16,0.9737436,0.0031145355,0.023141842
213,2019-01-17,0.96383995,0.007040533,0.029119514
214,2019-01-18,0.52011824,0.0031596557,0.47672215
215,2019-01-21,0.8729593,0.003775633,0.12326511
216,2019-01-22,0.89961994,0.0056562275,0.09472387
217,2019-01-23,0.64855516,0.0041920333,0.3472528
218,2019-01-24,0.43609995,0.4053138,0.15858623
219,2019-01-25,0.5418833,0.0028432258,0.45527354
220,2019-01-28,0.8345294,0.0077360575,0.15773454
221,2019-01-29,0.4648858,0.003040537,0.5320737
222,2019-01-30,0.4840086,0.39515743,0.12083396
223,2019-01-31,0.5817039,0.011489904,0.40680617
224,2019-02-01,0.9863117,0.002837733,0.010850679
225,2019-02-04,0.60184807,0.0034964955,0.3946555
226,2019-02-05,0.9830048,0.0040947436,0.012900512
227,2019-02-07,0.7020105,0.0035770056,0.2944125
228,2019-02-08,0.4969876,0.4939722,0.009040145
229,2019-02-09,0.9832767,0.0028638479,0.01385943
230,2019-02-10,0.9854601,0.0030105808,0.011529341
231,2019-02-12,0.9844239,0.0029322114,0.012643896
232,2019-02-13,0.4378922,0.0036652295,0.55844253
233,2019-02-14,0.44980472,0.0036089972,0.5465863
234,2019-02-15,0.49635106,0.004160608,0.4994883
235,2019-02-18,0.77344,0.004505611,0.22205436
236,2019-02-19,0.044873863,0.3551,0.60002613
237,2019-02-20,0.96956384,0.0034217513,0.027014438
238,2019-02-21,0.9536482,0.003271061,0.0430808
239,2019-02-22,0.9753231,0.00298585,0.021691088
240,2019-02-25,0.7469395,0.0044929623,0.24856755
241,2019-02-26,0.7992711,0.00435711,0.19637176
242,2019-02-27,0.9408535,0.005025521,0.05412098
243,2019-02-28,0.649742,0.0038537902,0.34640422
244,2019-03-01,0.6854876,0.0033975136,0.31111488
245,2019-03-04,0.97868216,0.002969369,0.018348558
246,2019-03-05,0.97645175,0.002767861,0.020780418
247,2019-03-06,0.89836633,0.0052917576,0.09634191
248,2019-03-07,0.8507003,0.0076704463,0.14162923
249,2019-03-09,0.98320264,0.0027323575,0.014064992
250,2019-03-10,0.50837255,0.0032766159,0.48835084
251,2019-03-12,0.5255964,0.010094573,0.4643091
252,2019-03-13,0.50060934,0.0027064476,0.49668425
253,2019-03-14,0.6747441,0.0044121207,0.32084373
254,2019-03-15,0.51478565,0.4067757,0.0784386
255,2019-03-16,0.97795695,0.004770622,0.01727235
256,2019-03-18,0.94388425,0.003918219,0.052197468
257,2019-03-19,0.025282986,0.07837794,0.89633906
258,2019-03-20,0.7230089,0.0046462836,0.27234486
259,2019-03-21,0.5025413,0.0144376075,0.48302102
260,2019-03-22,0.98231447,0.0030451743,0.014640325
261,2019-03-25,0.4833358,0.004290526,0.51237375
262,2019-03-26,0.7789098,0.004221975,0.21686828
263,2019-03-27,0.009941413,0.48711842,0.5029402
264,2019-03-28,0.98285735,0.0028017368,0.014340887
265,2019-03-29,0.4917431,0.003064267,0.50519264
266,2019-04-01,0.5173309,0.002752887,0.47991624
267,2019-04-02,0.49507967,0.0040211636,0.5008992
268,2019-04-03,0.59223735,0.0064522875,0.40131032
269,2019-04-04,0.9605439,0.0045553176,0.034900807
270,2019-04-06,0.9177239,0.047792,0.034484096
